asset,date_time,component,guid,path,filename
F02,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F02.jpeg,20250703-F02.jpeg
F03,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F03.jpeg,20250703-F03.jpeg
F04,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F04.jpeg,20250703-F04.jpeg
F05,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F05.jpeg,20250703-F05.jpeg
F06,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F06.jpeg,20250703-F06.jpeg
F07,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F07.jpeg,20250703-F07.jpeg
F08,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F08.jpeg,20250703-F08.jpeg
F09,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F09.jpeg,20250703-F09.jpeg
F11,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F11.jpeg,20250703-F11.jpeg
F12,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F12.jpeg,20250703-F12.jpeg
F13,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F13.jpeg,20250703-F13.jpeg
F14,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F14.jpeg,20250703-F14.jpeg
F15,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F15.jpeg,20250703-F15.jpeg
F51,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F51.jpeg,20250703-F51.jpeg
F52,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F52.jpeg,20250703-F52.jpeg
F53,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F53.jpeg,20250703-F53.jpeg
F61,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F61.jpeg,20250703-F61.jpeg
F62,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F62.jpeg,20250703-F62.jpeg
F63,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F63.jpeg,20250703-F63.jpeg
F64,2025-07-03 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250703-F64.jpeg,20250703-F64.jpeg
F02,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F02.jpeg,20250704-F02.jpeg
F03,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F03.jpeg,20250704-F03.jpeg
F04,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F04.jpeg,20250704-F04.jpeg
F05,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F05.jpeg,20250704-F05.jpeg
F06,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F06.jpeg,20250704-F06.jpeg
F07,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F07.jpeg,20250704-F07.jpeg
F08,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F08.jpeg,20250704-F08.jpeg
F09,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F09.jpeg,20250704-F09.jpeg
F11,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F11.jpeg,20250704-F11.jpeg
F12,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F12.jpeg,20250704-F12.jpeg
F13,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F13.jpeg,20250704-F13.jpeg
F14,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F14.jpeg,20250704-F14.jpeg
F15,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F15.jpeg,20250704-F15.jpeg
F51,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F51.jpeg,20250704-F51.jpeg
F52,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F52.jpeg,20250704-F52.jpeg
F53,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F53.jpeg,20250704-F53.jpeg
F61,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F61.jpeg,20250704-F61.jpeg
F62,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F62.jpeg,20250704-F62.jpeg
F63,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F63.jpeg,20250704-F63.jpeg
F64,2025-07-04 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250704-F64.jpeg,20250704-F64.jpeg
F02,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F02.jpeg,20250707-F02.jpeg
F03,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F03.jpeg,20250707-F03.jpeg
F04,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F04.jpeg,20250707-F04.jpeg
F05,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F05.jpeg,20250707-F05.jpeg
F06,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F06.jpeg,20250707-F06.jpeg
F07,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F07.jpeg,20250707-F07.jpeg
F08,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F08.jpeg,20250707-F08.jpeg
